sample,pair,open_date,second_add_time,signal_1h_date,signal_4h_date,hours_after_open,hours_after_first_add,profit_at_first_add,profit_at_second_add,extra_drop_after_first_add,delta_abs,delta_direction,exit_reason,baseline_exit_reason,close_position_1h,body_ratio_1h,range_pct_1h,ret_1h,ret_3h,ret_6h,ret_12h,ret_24h,dist_ema20_1h,dist_ema50_1h,ema20_slope_3_1h,ema50_slope_3_1h,atr_pct_1h,vol_ratio_24_1h,lower_wick_ratio_1h,upper_wick_ratio_1h,ret_4h_1,ret_4h_3,dist_ema20_4h,dist_ema50_4h,ema20_slope_3_4h,ema50_slope_3_4h,atr_pct_4h
5y,XRP/USDT:USDT,2024-09-05 04:00:00+00:00,2024-09-05T16:55:00+00:00,2024-09-05T16:00:00+00:00,2024-09-05T16:00:00+00:00,12.92,0.92,0.00751,0.01795,0.01036,6.2876,improved,partial_exit,partial_exit,0.2907,0.48837,0.01588,-0.00788,-0.02132,-0.01599,-0.02043,-0.03612,-0.0175,-0.02315,-0.00368,-0.00203,0.00742,3.01908,0.2907,0.22093,-0.00604,-0.01863,-0.02214,-0.03496,-0.00568,-0.00368,0.01914
5y,TAO/USDT:USDT,2024-11-02 13:00:00+00:00,2024-11-02T13:55:00+00:00,2024-11-02T13:00:00+00:00,2024-11-02T12:00:00+00:00,0.92,0.58,0.01044,0.02023,0.00968,0.38609,improved,roi,roi,0.05925,0.82823,0.03422,-0.02754,-0.04278,-0.04843,-0.05423,-0.08984,-0.04337,-0.0658,-0.00802,-0.00574,0.01135,4.72489,0.05925,0.11252,-0.03349,-0.04291,-0.07197,-0.11652,-0.01666,-0.01175,0.03294
5y,SUI/USDT:USDT,2025-01-26 21:00:00+00:00,2025-01-26T21:50:00+00:00,2025-01-26T21:00:00+00:00,2025-01-26T20:00:00+00:00,0.83,0.67,0.00286,0.01893,0.01602,6.91719,improved,roi,roi,0.09387,0.87352,0.02537,-0.02168,-0.03779,-0.03229,-0.03507,-0.04138,-0.03325,-0.04552,-0.00591,-0.00367,0.01018,4.49746,0.09387,0.03261,-0.05997,-0.06938,-0.08015,-0.1172,-0.01466,-0.01008,0.02729
5y,LINK/USDT:USDT,2025-02-06 15:00:00+00:00,2025-02-06T15:45:00+00:00,2025-02-06T15:00:00+00:00,2025-02-06T12:00:00+00:00,0.75,0.42,0.00258,0.01942,0.0168,-0.22161,worsened,trailing_stop_loss,trailing_stop_loss,0.21329,0.66924,0.03462,-0.02259,-0.0351,-0.05615,-0.041,-0.04788,-0.03966,-0.05193,-0.00641,-0.00382,0.01847,3.10963,0.21329,0.11747,-0.05127,-0.041,-0.0692,-0.12976,-0.013,-0.0125,0.04141
5y,ETH/USDT:USDT,2025-02-26 13:00:00+00:00,2025-02-26T14:25:00+00:00,2025-02-26T14:00:00+00:00,2025-02-26T12:00:00+00:00,1.42,0.42,0.00297,0.02017,0.01715,0.00267,improved,trailing_stop_loss,trailing_stop_loss,0.98124,0.28046,0.02781,0.00786,-0.01176,-0.01165,-0.02508,0.02384,-0.01276,-0.03088,-0.00545,-0.00429,0.01205,3.50191,0.70078,0.01876,-0.01462,-0.02493,-0.04721,-0.0766,-0.01246,-0.00826,0.03578
5y,SOL/USDT:USDT,2025-04-05 14:00:00+00:00,2025-04-06T13:25:00+00:00,2025-04-06T13:00:00+00:00,2025-04-06T12:00:00+00:00,23.42,0.42,0.00739,0.01895,0.01147,3.45479,improved,partial_exit,partial_exit,0.2,0.79091,0.01919,-0.01504,-0.03745,-0.03777,-0.04776,-0.02683,-0.03451,-0.03882,-0.00685,-0.00298,0.01034,3.61458,0.2,0.00909,-0.03087,-0.04202,-0.03794,-0.06358,-0.00595,-0.0054,0.02781
5y,ETH/USDT:USDT,2025-11-20 16:00:00+00:00,2025-11-20T16:30:00+00:00,2025-11-20T16:00:00+00:00,2025-11-20T16:00:00+00:00,0.5,0.33,0.00794,0.01807,0.01005,0.09447,improved,partial_exit,partial_exit,0.13329,0.81772,0.03988,-0.03159,-0.04582,-0.05072,-0.0628,-0.02973,-0.0455,-0.05479,-0.0074,-0.0038,0.01425,4.22676,0.13329,0.04899,-0.0366,-0.0631,-0.06155,-0.09596,-0.01118,-0.00843,0.03223
5y,XRP/USDT:USDT,2025-11-20 16:00:00+00:00,2025-11-20T16:15:00+00:00,2025-11-20T16:00:00+00:00,2025-11-20T16:00:00+00:00,0.25,0.08,0.00851,0.01826,0.00967,0.05748,improved,partial_exit,partial_exit,0.10376,0.86773,0.04366,-0.03655,-0.05304,-0.05273,-0.06355,-0.03368,-0.0471,-0.05763,-0.00657,-0.00364,0.01387,3.79864,0.10376,0.02851,-0.03789,-0.06227,-0.06254,-0.09441,-0.01208,-0.00844,0.02898
5y,ADA/USDT:USDT,2025-12-15 15:00:00+00:00,2025-12-15T15:25:00+00:00,2025-12-15T15:00:00+00:00,2025-12-15T12:00:00+00:00,0.42,0.33,0.00282,0.01849,0.01563,-0.52581,worsened,trailing_stop_loss,trailing_stop_loss,0.24603,0.57143,0.03272,-0.0181,-0.04299,-0.0456,-0.04013,-0.03484,-0.03619,-0.04626,-0.00648,-0.00357,0.01306,4.23891,0.24603,0.18254,-0.04394,-0.04013,-0.05326,-0.07758,-0.00913,-0.0064,0.02077
5y,BNB/USDT:USDT,2026-04-01 14:00:00+00:00,2026-04-02T02:45:00+00:00,2026-04-02T02:00:00+00:00,2026-04-02T00:00:00+00:00,12.75,0.75,0.00677,0.01964,0.01278,8.9545,improved,partial_exit,partial_exit,0.11347,0.88155,0.01342,-0.01171,-0.02248,-0.02673,-0.02732,-0.02858,-0.02338,-0.02569,-0.00399,-0.00168,0.00791,2.20609,0.11347,0.00499,-0.03089,-0.0373,-0.03258,-0.04285,-0.00404,-0.00271,0.01539
5y,XRP/USDT:USDT,2026-04-02 02:00:00+00:00,2026-04-05T06:10:00+00:00,2026-04-05T06:00:00+00:00,2026-04-05T04:00:00+00:00,76.17,75.75,0.00258,0.01849,0.01587,0.64651,improved,stale_loss_72h,trailing_stop_loss,0.77215,0.10127,0.00607,0.00062,-0.00907,-0.00846,-0.00922,-0.01402,-0.00804,-0.01032,-0.00213,-0.00105,0.0043,2.87757,0.67089,0.22785,-0.01189,-0.01511,-0.0149,-0.02657,-0.00243,-0.00235,0.00946
