pair,combination,event_variant,watch_ttl_h,confirmation,side,extreme_event_count,final_signal_count
NEAR/USDT:USDT,B_120h_strong,B,120,strong,short,12,0
NEAR/USDT:USDT,B_168h_weak,B,168,weak,short,12,0
NEAR/USDT:USDT,B_168h_medium,B,168,medium,short,12,0
NEAR/USDT:USDT,B_168h_strong,B,168,strong,short,12,0
NEAR/USDT:USDT,C_24h_weak,C,24,weak,long,0,0
NEAR/USDT:USDT,C_24h_medium,C,24,medium,long,0,0
NEAR/USDT:USDT,C_24h_strong,C,24,strong,long,0,0
NEAR/USDT:USDT,C_72h_weak,C,72,weak,long,0,0
NEAR/USDT:USDT,C_72h_medium,C,72,medium,long,0,0
NEAR/USDT:USDT,C_72h_strong,C,72,strong,long,0,0
NEAR/USDT:USDT,C_120h_weak,C,120,weak,long,0,0
NEAR/USDT:USDT,C_120h_medium,C,120,medium,long,0,0
NEAR/USDT:USDT,C_120h_strong,C,120,strong,long,0,0
NEAR/USDT:USDT,C_168h_weak,C,168,weak,long,0,0
NEAR/USDT:USDT,C_168h_medium,C,168,medium,long,0,0
NEAR/USDT:USDT,C_168h_strong,C,168,strong,long,0,0
NEAR/USDT:USDT,C_24h_weak,C,24,weak,short,1,0
NEAR/USDT:USDT,C_24h_medium,C,24,medium,short,1,0
NEAR/USDT:USDT,C_24h_strong,C,24,strong,short,1,0
NEAR/USDT:USDT,C_72h_weak,C,72,weak,short,1,0
NEAR/USDT:USDT,C_72h_medium,C,72,medium,short,1,0
NEAR/USDT:USDT,C_72h_strong,C,72,strong,short,1,0
NEAR/USDT:USDT,C_120h_weak,C,120,weak,short,1,0
NEAR/USDT:USDT,C_120h_medium,C,120,medium,short,1,0
NEAR/USDT:USDT,C_120h_strong,C,120,strong,short,1,0
NEAR/USDT:USDT,C_168h_weak,C,168,weak,short,1,0
NEAR/USDT:USDT,C_168h_medium,C,168,medium,short,1,0
NEAR/USDT:USDT,C_168h_strong,C,168,strong,short,1,0
LINK/USDT:USDT,A_24h_weak,A,24,weak,long,15,0
LINK/USDT:USDT,A_24h_medium,A,24,medium,long,15,0
LINK/USDT:USDT,A_24h_strong,A,24,strong,long,15,0
LINK/USDT:USDT,A_72h_weak,A,72,weak,long,15,0
LINK/USDT:USDT,A_72h_medium,A,72,medium,long,15,0
LINK/USDT:USDT,A_72h_strong,A,72,strong,long,15,0
LINK/USDT:USDT,A_120h_weak,A,120,weak,long,15,0
LINK/USDT:USDT,A_120h_medium,A,120,medium,long,15,0
LINK/USDT:USDT,A_120h_strong,A,120,strong,long,15,0
LINK/USDT:USDT,A_168h_weak,A,168,weak,long,15,1
LINK/USDT:USDT,A_168h_medium,A,168,medium,long,15,1
LINK/USDT:USDT,A_168h_strong,A,168,strong,long,15,0
LINK/USDT:USDT,A_24h_weak,A,24,weak,short,20,0
LINK/USDT:USDT,A_24h_medium,A,24,medium,short,20,0
LINK/USDT:USDT,A_24h_strong,A,24,strong,short,20,0
LINK/USDT:USDT,A_72h_weak,A,72,weak,short,20,0
LINK/USDT:USDT,A_72h_medium,A,72,medium,short,20,0
LINK/USDT:USDT,A_72h_strong,A,72,strong,short,20,0
LINK/USDT:USDT,A_120h_weak,A,120,weak,short,20,1
LINK/USDT:USDT,A_120h_medium,A,120,medium,short,20,0
LINK/USDT:USDT,A_120h_strong,A,120,strong,short,20,0
LINK/USDT:USDT,A_168h_weak,A,168,weak,short,20,2
LINK/USDT:USDT,A_168h_medium,A,168,medium,short,20,1
LINK/USDT:USDT,A_168h_strong,A,168,strong,short,20,0
LINK/USDT:USDT,B_24h_weak,B,24,weak,long,13,0
LINK/USDT:USDT,B_24h_medium,B,24,medium,long,13,0
LINK/USDT:USDT,B_24h_strong,B,24,strong,long,13,0
LINK/USDT:USDT,B_72h_weak,B,72,weak,long,13,0
LINK/USDT:USDT,B_72h_medium,B,72,medium,long,13,0
LINK/USDT:USDT,B_72h_strong,B,72,strong,long,13,0
LINK/USDT:USDT,B_120h_weak,B,120,weak,long,13,0
LINK/USDT:USDT,B_120h_medium,B,120,medium,long,13,0
LINK/USDT:USDT,B_120h_strong,B,120,strong,long,13,0
LINK/USDT:USDT,B_168h_weak,B,168,weak,long,13,0
LINK/USDT:USDT,B_168h_medium,B,168,medium,long,13,0
LINK/USDT:USDT,B_168h_strong,B,168,strong,long,13,0
LINK/USDT:USDT,B_24h_weak,B,24,weak,short,12,0
LINK/USDT:USDT,B_24h_medium,B,24,medium,short,12,0
LINK/USDT:USDT,B_24h_strong,B,24,strong,short,12,0
LINK/USDT:USDT,B_72h_weak,B,72,weak,short,12,0
LINK/USDT:USDT,B_72h_medium,B,72,medium,short,12,0
LINK/USDT:USDT,B_72h_strong,B,72,strong,short,12,0
LINK/USDT:USDT,B_120h_weak,B,120,weak,short,12,1
LINK/USDT:USDT,B_120h_medium,B,120,medium,short,12,0
LINK/USDT:USDT,B_120h_strong,B,120,strong,short,12,0
LINK/USDT:USDT,B_168h_weak,B,168,weak,short,12,2
LINK/USDT:USDT,B_168h_medium,B,168,medium,short,12,1
LINK/USDT:USDT,B_168h_strong,B,168,strong,short,12,0
LINK/USDT:USDT,C_24h_weak,C,24,weak,long,2,0
LINK/USDT:USDT,C_24h_medium,C,24,medium,long,2,0
LINK/USDT:USDT,C_24h_strong,C,24,strong,long,2,0
LINK/USDT:USDT,C_72h_weak,C,72,weak,long,2,0
LINK/USDT:USDT,C_72h_medium,C,72,medium,long,2,0
LINK/USDT:USDT,C_72h_strong,C,72,strong,long,2,0
LINK/USDT:USDT,C_120h_weak,C,120,weak,long,2,0
LINK/USDT:USDT,C_120h_medium,C,120,medium,long,2,0
LINK/USDT:USDT,C_120h_strong,C,120,strong,long,2,0
LINK/USDT:USDT,C_168h_weak,C,168,weak,long,2,0
LINK/USDT:USDT,C_168h_medium,C,168,medium,long,2,0
LINK/USDT:USDT,C_168h_strong,C,168,strong,long,2,0
LINK/USDT:USDT,C_24h_weak,C,24,weak,short,1,0
LINK/USDT:USDT,C_24h_medium,C,24,medium,short,1,0
LINK/USDT:USDT,C_24h_strong,C,24,strong,short,1,0
LINK/USDT:USDT,C_72h_weak,C,72,weak,short,1,0
LINK/USDT:USDT,C_72h_medium,C,72,medium,short,1,0
LINK/USDT:USDT,C_72h_strong,C,72,strong,short,1,0
LINK/USDT:USDT,C_120h_weak,C,120,weak,short,1,0
LINK/USDT:USDT,C_120h_medium,C,120,medium,short,1,0
LINK/USDT:USDT,C_120h_strong,C,120,strong,short,1,0
LINK/USDT:USDT,C_168h_weak,C,168,weak,short,1,0
LINK/USDT:USDT,C_168h_medium,C,168,medium,short,1,0
LINK/USDT:USDT,C_168h_strong,C,168,strong,short,1,0
