pair,open_date,close_date,side,entry_tag,profit_abs,profit_ratio,duration,open_rate,close_rate,is_short,stake_amount,max_open_trades_config
SUI/USDT:USDT,2023-07-30 20:00:00+00:00,2023-08-01 00:00:00+00:00,short,short_pullback_restart,-7.61347307,-0.0298036098511566,1680,0.6172,0.6348,True,255.58252,4
NEAR/USDT:USDT,2023-07-31 20:00:00+00:00,2023-08-01 19:00:00+00:00,short,short_compression_breakdown,-7.4935012,-0.033795295884533005,1380,1.361,1.406,True,221.843,4
ZEC/USDT:USDT,2023-07-30 07:00:00+00:00,2023-08-01 23:00:00+00:00,short,short_pullback_restart,-5.49773801,-0.01587527898795786,3840,30.04,30.51,True,346.48136,4
ADA/USDT:USDT,2023-08-06 14:00:00+00:00,2023-08-07 02:00:00+00:00,short,short_pullback_restart,-4.38805503,-0.01451761973238025,720,0.2919,0.2959,True,302.4084,4
ETH/USDT:USDT,2023-08-02 15:00:00+00:00,2023-08-07 03:00:00+00:00,short,short_pullback_restart,-0.47812071,-0.0014121958828705301,6480,1840.95,1843.96,True,338.7348,4
ZEC/USDT:USDT,2023-08-04 09:00:00+00:00,2023-08-07 10:00:00+00:00,short,short_pullback_restart,-1.23169905,-0.003752036550358121,4380,29.38,29.48,True,328.43902,4
NEAR/USDT:USDT,2023-08-07 15:00:00+00:00,2023-08-08 12:00:00+00:00,short,short_pullback_restart,-7.25983496,-0.024110452480421013,1260,1.333,1.364,True,301.258,4
LINK/USDT:USDT,2023-08-10 00:00:00+00:00,2023-08-11 10:00:00+00:00,long,long_1d_center_compression,-7.16839161,-0.02140556029208329,2040,7.677,7.524,False,334.7172,4
ADA/USDT:USDT,2023-08-15 19:00:00+00:00,2023-08-17 21:00:00+00:00,short,short_pullback_restart,33.18063122,0.0999390677102063,3000,0.2871,0.258,True,332.1747,4
BTC/USDT:USDT,2023-08-17 14:00:00+00:00,2023-08-17 21:00:00+00:00,short,short_compression_breakdown,31.21722703,0.10000033122846688,420,28393.4,25531.3,True,312.3274,4
ETH/USDT:USDT,2023-08-17 15:00:00+00:00,2023-08-17 21:00:00+00:00,short,short_pullback_restart,30.3961746,0.0999979359802387,360,1778.48,1599.16,True,304.12008,4
XRP/USDT:USDT,2023-08-22 14:00:00+00:00,2023-08-22 23:00:00+00:00,short,short_pullback_restart,-7.92131236,-0.02170888017839492,540,0.5131,0.5237,True,365.07065,4
NEAR/USDT:USDT,2023-08-21 11:00:00+00:00,2023-08-23 06:00:00+00:00,short,short_pullback_restart,-8.04651781,-0.03417531851600303,2580,1.138,1.174,True,235.566,4
LINK/USDT:USDT,2023-08-21 11:00:00+00:00,2023-08-23 09:00:00+00:00,short,short_pullback_restart,-7.64436016,-0.020948649250397335,2760,6.136,6.261,True,365.092,4
ETH/USDT:USDT,2023-08-24 15:00:00+00:00,2023-08-27 16:00:00+00:00,short,short_pullback_restart,-2.44779869,-0.0068921507156421815,4380,1645.07,1654.69,True,355.33512,4
ZEC/USDT:USDT,2023-08-24 15:00:00+00:00,2023-08-27 16:00:00+00:00,short,short_pullback_restart,-2.81513325,-0.012403832720147414,4380,24.62,24.88,True,227.07026,4
